Distance,Ascent,Name,City,Date
9.00 mi,140.7 ft,Route from GARMIN 2431 (2020-07-24 14:27:00+00:00),Park Ridge,7/31/2020
0.94 mi,1.0 ft,0.62mi Run,Oak Park,7/31/2020
4.28 mi,53.8 ft,3.86mi Run,Northbrook,7/31/2020
0.93 mi,1.0 ft,0.62mi Run,Oak Park,7/31/2020
3.25 mi,28.5 ft,5.03km Run,Chicago,7/31/2020
4.56 mi,2.3 ft,1.04mi Run,Arlington Heights,7/31/2020
0.45 mi,0.3 ft,Route from GARMIN 2431 (2020-07-31 21:42:19+00:00),Deer Park,7/31/2020
7.04 mi,107.0 ft,7 miles GB DP spring north,Lake Bluff,7/31/2020
7.06 mi,104.0 ft,7 miles elm tree spring,Lake Bluff,7/31/2020
7.33 mi,121.4 ft,7.3 to arbor,Lake Bluff,7/31/2020
6.98 mi,100.4 ft,7-Mi Uptown Loop,Lincolnwood,7/31/2020
2.37 mi,12.5 ft,2.35mi Run,La Grange Park,7/31/2020
0.12 mi,2.6 ft,Route from GARMIN 2988 (2020-07-31 20:16:19+00:00),Lincolnwood,7/31/2020
2.85 mi,72.5 ft,4.17km Run,Chicago,7/31/2020
6.75 mi,64.6 ft,Route from GARMIN 2988 (2020-07-31 17:05:42+00:00),Lincolnwood,7/31/2020
2.71 mi,13.8 ft,2.63mi Run,Lincolnwood,7/31/2020
3.19 mi,54.8 ft,3.02mi Run,Park City,7/31/2020
2.20 mi,16.4 ft,2.14mi Run,Lincolnwood,7/31/2020
2.38 mi,22.6 ft,2.13mi Run,Chicago,7/31/2020
3.60 mi,73.8 ft,Route from Suunto (2020-07-31),Chicago,7/31/2020
9.00 mi,140.7 ft,Route from GARMIN 2431 (2020-07-24 14:27:00+00:00),Park Ridge,7/31/2020
0.94 mi,1.0 ft,0.62mi Run,Oak Park,7/31/2020
4.28 mi,53.8 ft,3.86mi Run,Northbrook,7/31/2020
0.93 mi,1.0 ft,0.62mi Run,Oak Park,7/31/2020
3.25 mi,28.5 ft,5.03km Run,Chicago,7/31/2020
4.56 mi,2.3 ft,1.04mi Run,Arlington Heights,7/31/2020
0.45 mi,0.3 ft,Route from GARMIN 2431 (2020-07-31 21:42:19+00:00),Deer Park,7/31/2020
7.04 mi,107.0 ft,7 miles GB DP spring north,Lake Bluff,7/31/2020
7.06 mi,104.0 ft,7 miles elm tree spring,Lake Bluff,7/31/2020
